id,name,description,dataType,valueJson,langCode,isActive
21654,profession,Profession/ Occupation,string,"{"code":"112","value":"ಬಾರ್ಬರ್"}",kan,TRUE
21655,profession,Profession/ Occupation,string,"{"code":"113","value":"ಬ್ಲಾಕ್ಸ್ಮಿತ್"}",kan,TRUE
21656,profession,Profession/ Occupation,string,"{"code":"114","value":"ಬುತ್ಚೆರ್"}",kan,TRUE
21657,profession,Profession/ Occupation,string,"{"code":"115","value":"ಕಾರ್ಪೆಂಟರ್"}",kan,TRUE
21658,profession,Profession/ Occupation,string,"{"code":"116","value":"ಕ್ಯಾಷಿಯರ್"}",kan,TRUE
21659,profession,Profession/ Occupation,string,"{"code":"101","value":"கணக்காளர்"}",tam,TRUE
21660,profession,Profession/ Occupation,string,"{"code":"102","value":"நடிகர்"}",tam,TRUE
21661,profession,Profession/ Occupation,string,"{"code":"103","value":"actuary"}",tam,TRUE
21662,profession,Profession/ Occupation,string,"{"code":"104","value":"ஆலோசகர்"}",tam,TRUE
21663,profession,Profession/ Occupation,string,"{"code":"105","value":"தூதர்"}",tam,TRUE
21664,profession,Profession/ Occupation,string,"{"code":"106","value":"கலைஞர்"}",tam,TRUE
21665,profession,Profession/ Occupation,string,"{"code":"107","value":"விண்வெளி"}",tam,TRUE
21666,profession,Profession/ Occupation,string,"{"code":"108","value":"தடகள"}",tam,TRUE
21667,profession,Profession/ Occupation,string,"{"code":"109","value":"நூலாசிரியர்"}",tam,TRUE
21668,profession,Profession/ Occupation,string,"{"code":"110","value":"ரொட்டி சுடுபவர்"}",tam,TRUE
21669,profession,Profession/ Occupation,string,"{"code":"111","value":"வங்கியாளர்"}",tam,TRUE
21670,profession,Profession/ Occupation,string,"{"code":"112","value":"பார்பர்"}",tam,TRUE
21671,profession,Profession/ Occupation,string,"{"code":"113","value":"பிளாக்ஸ்மித்"}",tam,TRUE
21672,profession,Profession/ Occupation,string,"{"code":"114","value":"கசாப்பு"}",tam,TRUE
21673,profession,Profession/ Occupation,string,"{"code":"115","value":"கார்பெண்டர்"}",tam,TRUE
21674,profession,Profession/ Occupation,string,"{"code":"116","value":"காசாளர்"}",tam,TRUE
21675,profession,Profession/ Occupation,string,"{"code":"101","value":"bookkeeper"}",eng,TRUE
21676,profession,Profession/ Occupation,string,"{"code":"102","value":"actor"}",eng,TRUE
21677,profession,Profession/ Occupation,string,"{"code":"103","value":"Accountant"}",eng,TRUE
21678,profession,Profession/ Occupation,string,"{"code":"104","value":"Consultant"}",eng,TRUE
21679,profession,Profession/ Occupation,string,"{"code":"105","value":"messanger"}",eng,TRUE
21680,profession,Profession/ Occupation,string,"{"code":"106","value":"artist"}",eng,TRUE
21681,profession,Profession/ Occupation,string,"{"code":"107","value":"Astronaut"}",eng,TRUE
21682,profession,Profession/ Occupation,string,"{"code":"108","value":"athlete"}",eng,TRUE
21683,profession,Profession/ Occupation,string,"{"code":"109","value":"Author"}",eng,TRUE
21684,profession,Profession/ Occupation,string,"{"code":"110","value":"Baker Nanbai"}",eng,TRUE
21685,profession,Profession/ Occupation,string,"{"code":"111","value":"Banker"}",eng,TRUE
21686,profession,Profession/ Occupation,string,"{"code":"112","value":"Barber"}",eng,TRUE
21687,profession,Profession/ Occupation,string,"{"code":"113","value":"Blacksmith"}",eng,TRUE
21688,profession,Profession/ Occupation,string,"{"code":"114","value":"Butcher"}",eng,TRUE
21689,profession,Profession/ Occupation,string,"{"code":"115","value":"carpenter"}",eng,TRUE
21690,profession,Profession/ Occupation,string,"{"code":"116","value":"cashier"}",eng,TRUE
23534,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"घर पहुँचाना"}",hin,TRUE
23535,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"संदेशवाहक"}",hin,TRUE
23536,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"पद"}",hin,TRUE
23537,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"ಮನೆ ವಿತರಣೆ"}",kan,TRUE
23538,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"ಕೊರಿಯರ್"}",kan,TRUE
23539,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"ಪೋಸ್ಟ್"}",kan,TRUE
23540,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"முகப்பு DIVERY."}",tam,TRUE
23541,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"கூரியர்"}",tam,TRUE
23542,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"அஞ்சல்"}",tam,TRUE
23543,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"Send to home"}",eng,TRUE
23544,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"Courier"}",eng,TRUE
23545,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"Post"}",eng,TRUE
