id,name,description,dataType,valueJson,langCode,isActive,
10490,profession,Profession/ Occupation,string,"{"code":"116","value":"ಕ್ಯಾಷಿಯರ್"}",kan,TRUE
10491,profession,Profession/ Occupation,string,"{"code":"101","value":"கணக்காளர்"}",tam,TRUE
10492,profession,Profession/ Occupation,string,"{"code":"102","value":"நடிகர்"}",tam,TRUE
10493,profession,Profession/ Occupation,string,"{"code":"103","value":"actuary"}",tam,TRUE
10494,profession,Profession/ Occupation,string,"{"code":"104","value":"ஆலோசகர்"}",tam,TRUE
10495,profession,Profession/ Occupation,string,"{"code":"105","value":"தூதர்"}",tam,TRUE
10496,profession,Profession/ Occupation,string,"{"code":"106","value":"கலைஞர்"}",tam,TRUE
10497,profession,Profession/ Occupation,string,"{"code":"107","value":"விண்வெளி"}",tam,TRUE
10498,profession,Profession/ Occupation,string,"{"code":"108","value":"தடகள"}",tam,TRUE
10499,profession,Profession/ Occupation,string,"{"code":"109","value":"நூலாசிரியர்"}",tam,TRUE
10500,profession,Profession/ Occupation,string,"{"code":"110","value":"ரொட்டி சுடுபவர்"}",tam,TRUE
10501,profession,Profession/ Occupation,string,"{"code":"111","value":"வங்கியாளர்"}",tam,TRUE
10502,profession,Profession/ Occupation,string,"{"code":"112","value":"பார்பர்"}",tam,TRUE
10503,profession,Profession/ Occupation,string,"{"code":"113","value":"பிளாக்ஸ்மித்"}",tam,TRUE
10504,profession,Profession/ Occupation,string,"{"code":"114","value":"கசாப்பு"}",tam,TRUE
10505,profession,Profession/ Occupation,string,"{"code":"115","value":"கார்பெண்டர்"}",tam,TRUE
10506,profession,Profession/ Occupation,string,"{"code":"116","value":"காசாளர்"}",tam,TRUE
10507,bcertificateAvailability,Birth Cerrtificate availability,string,"{"code":"101","value":"हाँ"}",hin,TRUE
10508,bcertificateAvailability,Birth Cerrtificate availability,string,"{"code":"102","value":"नहीं"}",hin,TRUE
10509,bcertificateAvailability,Birth Cerrtificate availability,string,"{"code":"101","value":"ಹೌದು"}",kan,TRUE
10510,bcertificateAvailability,Birth Cerrtificate availability,string,"{"code":"102","value":"ಯಾವುದೇ"}",kan,TRUE
10511,bcertificateAvailability,Birth Cerrtificate availability,string,"{"code":"101","value":"ஆம்"}",tam,TRUE
10512,bcertificateAvailability,Birth Cerrtificate availability,string,"{"code":"102","value":"இல்லை"}",tam,TRUE
10513,applicantLanguage,Applicant language,string,"{"code":"101","value":"हिंदी"}",hin,TRUE
10514,applicantLanguage,Applicant language,string,"{"code":"102","value":"ಕನ್ನಡ"}",hin,TRUE
10515,applicantLanguage,Applicant language,string,"{"code":"103","value":"தமிழ்"}",hin,TRUE
10516,applicantLanguage,Applicant language,string,"{"code":"101","value":"हिंदी"}",kan,TRUE
10517,applicantLanguage,Applicant language,string,"{"code":"102","value":"ಕನ್ನಡ"}",kan,TRUE
10518,applicantLanguage,Applicant language,string,"{"code":"103","value":"தமிழ்"}",kan,TRUE
10519,applicantLanguage,Applicant language,string,"{"code":"101","value":"हिंदी"}",tam,TRUE
10520,applicantLanguage,Applicant language,string,"{"code":"102","value":"ಕನ್ನಡ"}",tam,TRUE
10521,applicantLanguage,Applicant language,string,"{"code":"103","value":"தமிழ்"}",tam,TRUE
10522,dualCitizenshipAvailability,Dual citizenship availability,string,"{"code":"101","value":"हाँ"}",hin,TRUE
10523,dualCitizenshipAvailability,Dual citizenship availability,string,"{"code":"102","value":"नहीं"}",hin,TRUE
10524,dualCitizenshipAvailability,Dual citizenship availability,string,"{"code":"101","value":"ಹೌದು"}",kan,TRUE
10525,dualCitizenshipAvailability,Dual citizenship availability,string,"{"code":"102","value":"ಯಾವುದೇ"}",kan,TRUE
10526,dualCitizenshipAvailability,Dual citizenship availability,string,"{"code":"101","value":"ஆம்"}",tam,TRUE
10527,dualCitizenshipAvailability,Dual citizenship availability,string,"{"code":"102","value":"இல்லை"}",tam,TRUE
10528,fatherLivingStatus,Father living status,string,"{"code":"101","value":"जीवित"}",hin,TRUE
10529,fatherLivingStatus,Father living status,string,"{"code":"102","value":"मृतक"}",hin,TRUE
10530,fatherLivingStatus,Father living status,string,"{"code":"101","value":"ಜೀವಂತವಾಗಿ"}",kan,TRUE
10531,fatherLivingStatus,Father living status,string,"{"code":"102","value":"ಮೃತ"}",kan,TRUE
10532,fatherLivingStatus,Father living status,string,"{"code":"101","value":"உயிருடன்"}",tam,TRUE
10533,fatherLivingStatus,Father living status,string,"{"code":"102","value":"இறந்தவர்"}",tam,TRUE
10534,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"घर पहुँचाना"}",hin,TRUE
10535,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"संदेशवाहक"}",hin,TRUE
10536,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"पद"}",hin,TRUE
10537,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"ಮನೆ ವಿತರಣೆ"}",kan,TRUE
10538,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"ಕೊರಿಯರ್"}",kan,TRUE
10539,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"ಪೋಸ್ಟ್"}",kan,TRUE
10540,modeOfdelivery,Mode of Delivery,string,"{"code":"101","value":"முகப்பு DIVERY."}",tam,TRUE
10541,modeOfdelivery,Mode of Delivery,string,"{"code":"102","value":"கூரியர்"}",tam,TRUE
10542,modeOfdelivery,Mode of Delivery,string,"{"code":"103","value":"அஞ்சல்"}",tam,TRUE
10543,title,Title,string,"{"code":"101","value":"श्री"}",hin,TRUE
10544,title,Title,string,"{"code":"102","value":"श्रीमती"}",hin,TRUE
10545,title,Title,string,"{"code":"103","value":"कुमारी"}",hin,TRUE
10546,title,Title,string,"{"code":"104","value":"फिरना"}",hin,TRUE
10547,title,Title,string,"{"code":"101","value":"ಶ್ರೀ"}",kan,TRUE
10548,title,Title,string,"{"code":"102","value":"ಶ್ರೀಮತಿ"}",kan,TRUE
10549,title,Title,string,"{"code":"103","value":"ಮಿಸ್"}",kan,TRUE
10550,title,Title,string,"{"code":"104","value":"Vev"}",kan,TRUE
10551,title,Title,string,"{"code":"101","value":"திரு"}",tam,TRUE
10552,title,Title,string,"{"code":"102","value":"திருமதி"}",tam,TRUE
10553,title,Title,string,"{"code":"103","value":"செல்வி"}",tam,TRUE
10554,title,Title,string,"{"code":"104","value":"REV."}",tam,TRUE
10555,motherLivingStatus,Mother living status,string,"{"code":"101","value":"जीवित"}",hin,TRUE
10556,motherLivingStatus,Mother living status,string,"{"code":"102","value":"मृतक"}",hin,TRUE
10557,motherLivingStatus,Mother living status,string,"{"code":"101","value":"ಜೀವಂತವಾಗಿ"}",kan,TRUE
10558,motherLivingStatus,Mother living status,string,"{"code":"102","value":"ಮೃತ"}",kan,TRUE
10559,motherLivingStatus,Mother living status,string,"{"code":"101","value":"உயிருடன்"}",tam,TRUE
10560,motherLivingStatus,Mother living status,string,"{"code":"102","value":"இறந்தவர்"}",tam,TRUE
10561,guardianLivingStatus,Guardian living status,string,"{"code":"101","value":"जीवित"}",hin,TRUE
10562,guardianLivingStatus,Guardian living status,string,"{"code":"102","value":"मृतक"}",hin,TRUE
10563,guardianLivingStatus,Guardian living status,string,"{"code":"101","value":"ಜೀವಂತವಾಗಿ"}",kan,TRUE
10564,guardianLivingStatus,Guardian living status,string,"{"code":"102","value":"ಮೃತ"}",kan,TRUE
10565,guardianLivingStatus,Guardian living status,string,"{"code":"101","value":"உயிருடன்"}",tam,TRUE
10566,guardianLivingStatus,Guardian living status,string,"{"code":"102","value":"இறந்தவர்"}",tam,TRUE
10567,livingStatus,Living status,string,"{"code":"101","value":"जीवित"}",hin,TRUE
10568,livingStatus,Living status,string,"{"code":"102","value":"मृतक"}",hin,TRUE
10569,livingStatus,Living status,string,"{"code":"101","value":"ಜೀವಂತವಾಗಿ"}",kan,TRUE
10570,livingStatus,Living status,string,"{"code":"102","value":"ಮೃತ"}",kan,TRUE
10571,livingStatus,Living status,string,"{"code":"101","value":"உயிருடன்"}",tam,TRUE
10572,livingStatus,Living status,string,"{"code":"102","value":"இறந்தவர்"}",tam,TRUE
